IATA_CODE,AIRLINE,IMAGES,AIRLINEIMG
UA,United Air Lines Inc.,https://i.etsystatic.com/11453548/r/il/d265c4/1003024321/il_570xN.1003024321_qzgg.jpg,https://www.airport-technology.com/wp-content/uploads/sites/14/2022/03/787.jpg
AA,American Airlines Inc.,https://static.dezeen.com/uploads/2013/01/dezeen_American-Airlines-logo-and-livery_4a.jpg,https://s202.q4cdn.com/986123435/files/doc_news/2021/03/1/social-American-Airlines-generic-01.png 
US,US Airways Inc.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvkeJYL0okROtvulwdGZx79H-2AZH-t_OWDw&s,https://live.staticflickr.com/3760/13259089364_078d14b477_b.jpg
F9,Frontier Airlines Inc.,https://pbs.twimg.com/profile_images/1820863271408128000/NW3P9tCz_400x400.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/78/54/b3/frontier-airlines.jpg?w=1200&h=-1&s=1
B6,JetBlue Airways,https://cdn.shoplightspeed.com/shops/635203/files/20125448/whagtail-jet-blue-logo-tail.jpg,https://aviationa2z.com/wp-content/uploads/2024/12/p5iv8s4n.webp
OO,Skywest Airlines Inc.,https://stafftraveler.com/img/airlines/tails/OO.png,https://files-skywest-com.s3.us-west-2.amazonaws.com/public/Uploads/Featured/Aircraft/FLGenericCRJ200Flying.jpg
AS,Alaska Airlines Inc.,"https://m.media-amazon.com/images/I/51CbBLOq47L._AC_UF894,1000_QL80_.jpg",https://global.discourse-cdn.com/infiniteflight/original/3X/4/8/48f3b9d9ac7b0556966d177e26addae9d64ab4d6.jpg
NK,Spirit Air Lines,https://cdn.shoplightspeed.com/shops/635203/files/20402977/1024x1024x2/spirit-airlines-logo-sticker.jpg,https://images.foxtv.com/static.livenowfox.com/www.livenowfox.com/content/uploads/2025/03/764/432/gettyimages-2195177313.jpg?ve=1&tl=1
WN,Southwest Airlines Co.,https://ik.imagekit.io/kkbzr2uz4cp/stock/nyse/luv.png,https://imgproxy.divecdn.com/aCwMknOrKV8_nb-91gwXOXak2SzuwI3VrlqscBE_aL0/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9zb3V0aHdlc3RfcGxhbmUuanBn.webp
DL,Delta Air Lines Inc.,https://logos-world.net/wp-content/uploads/2021/08/Delta-Logo.png,https://news.delta.com/sites/default/files/styles/node_image_top_960/public/2024-01/a350_1000rendition.jpg?itok=N73NVyZN
EV,Atlantic Southeast Airlines,https://www.ci-portal.de/wp-content/uploads/stacked-logo-big.jpg,https://static1.simpleflyingimages.com/wordpress/wp-content/uploads/2022/12/n238as_emb-120rt_asa_iah_26apr00_-6852048993.jpg
HA,Hawaiian Airlines Inc.,https://img.s-hawaiianairlines.com/static/images/brand/refresh/imagenewpualani2x.png?version=a947&sc_lang=en,https://www.khon2.com/wp-content/uploads/sites/8/2023/04/HawaiianAirlinesGettyImages-1339393860.jpg?strip=1&w=640
MQ,American Eagle Airlines Inc.,https://1000logos.net/wp-content/uploads/2023/05/Envoy-Air-Logo-1998.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/American_Eagle_Envoy_Embraer175_N279MQ.jpg/1200px-American_Eagle_Envoy_Embraer175_N279MQ.jpg
VX,Virgin America,https://www.pngkey.com/png/detail/639-6395987_virgin-america-logo-01.png,https://images.airlinegeeks.com/wp-content/uploads/2018/04/26230908/30265380_2077566452455408_5164369634211659776_o.jpg
